Дата ;о_Санкт-Петербург;o_Адмиралтейский;o_Васимлеостровский;o_Всеволожский;o_Выборгский;o_Калининский;o_Кировский;o_Колпинский;o_Красногвардейский;o_Красносельский;o_Кронштадтский;o_Курортный;o_Московский;o_Невский;o_Ленобласть;o_Петроградский;o_Петродворцовый;o_Приморский;o_Пушкинский;o_Фрунзенский;o_Центральный;р_Санкт-Петербург;p_Адмиралтейский;p_Василеостровский;p_Всеволожский;p_Выборгский;p_Калининский;p_Кировский ;p_Колпинский;p_Красногвардейский;p_Красносельский;p_Кронштадтский;p_Курортный;p_Московский;p_Невский;p_ЛЕНОБЛАСТЬ;p_Петроградский;p_Петродворцовый ;p_Приморский;p_Пушкинский;p_Фрунзенский ;p_Центральный
maj'17;106.321;113.6;123.173;78.114;101.849;96.638;93.712;73.008;93.781;89.449;82.741;97.634;115.944;91.388;53.917;155.611;82.041;106.759;86.238;96.063;132.414;100.309;104.797;102.083;64.53;86.574;100.327;97.041;63.863;94.687;93.478;68.264;116.402;120.92;81.769;54.927;176.991;64.075;104.294;84.238;111.923;140.215
ijun'17;107.19;117.345;119.884;78.381;101.412;96.019;93.073;72.146;95.033;90.141;80.653;96.124;115.807;91.979;53.233;161.864;82.026;107.062;85.145;95.168;135.355;101.097;107.392;102.848;64.067;85.343;99.03;96.975;61.176;96.561;92.978;68.264;114.637;124.803;82.422;54.702;168.143;64.079;103.986;84.406;111.618;153.637
ijul'17;107.285;118.685;120.684;78.265;101.042;96.526;95.367;71.618;95.304;90.428;77.206;95.538;117.599;92.08;53.859;160.202;81.401;108.011;85.322;96.271;138.125;100.794;113.174;102.723;64.382;84.373;98.518;95.406;61.415;90.391;90.936;68.624;114.556;127.626;81.172;54.114;175.037;64.058;100.838;84.314;111.533;160.365
avg'17;107.806;122.932;123.612;78.622;101.803;97.668;96.588;73.763;97.782;91.797;77.759;95.04;119.054;93.044;54.059;159.466;81.518;110.057;86.315;99.046;136.753;100.596;112.62;108.897;65.667;83.27;97.82;91.904;61.485;87.252;91.6;68.63;115.721;127.369;81.393;53.7;174.552;64.037;97.798;84.514;111.448;152.851
sen'17;108.16;118.27;120.797;79.659;106.007;101.449;98.593;74.571;95.372;92.459;75.113;94.96;121.73;93.411;54.092;152.558;81.715;110.67;86.782;99.213;134.294;100.341;113.488;112.692;66.438;83.852;101.021;89.111;62.806;86.591;92.424;68.63;116.401;126.952;82.289;54.359;169.505;63.999;97.419;85.831;111.245;159.564
okt'17;107.256;118.241;123.821;78.158;102.307;98.173;99.463;72.363;93.266;91.07;76.915;96.616;117.375;92.783;54.384;152.832;80.086;109.814;85.103;98.805;134.166;100.052;111.767;112.295;64.436;84.101;101.535;87.588;65.198;83.426;92.938;68.029;120.736;121.957;84.765;54.765;169.776;64.32;97.996;88.567;111.376;154.574
noja'17;107.245;118.179;123.434;77.93;103.005;98.463;97.99;72.628;93.758;91.562;76.701;97.192;118.326;93.403;54.044;153.028;80.384;111.038;85.609;99.213;134.02;100.519;111.984;113.388;65.277;84.195;102.121;85.36;63.578;80.998;93.763;67.945;124.225;120.214;86.197;54.39;172.768;65.678;98.057;91.131;112.928;158.155
dek'17;107.388;118.972;122.705;78.795;103.346;99.56;98.22;74.008;93.897;92.201;76.078;96.874;119.695;93.519;54.203;152.41;81.078;111.741;86.344;100.574;134.11;100.645;112.22;113.588;64.153;84.023;100.78;87.41;64.47;81.39;94.113;66.595;124.534;119.268;86.83;54.46;174.806;67.348;99.738;92.189;112.37;158.03
janv'18;107.039;118.06;122.056;78.619;102.888;100.284;97.999;72.352;94.788;93.257;76.776;97.897;120.192;94.412;55.123;151.176;80.99;111.885;87.127;100.217;134.301;100.903;112.55;113.898;64.441;85.093;101.029;87.739;64.699;82.052;94.523;66.094;124.534;117.522;87.074;54.588;175.948;68.261;100.03;92.859;112.571;159.004
fev'18;107.214;118.516;122.38;78.707;103.117;99.922;98.109;73.18;94.343;92.729;76.427;97.386;119.944;93.965;55.163;151.793;81.034;111.813;86.736;100.396;134.206;101.274;113.25;115.345;64.975;87.279;101.402;88.387;64.927;82.883;95.444;66.583;128.534;118.271;88.008;55.524;177.019;69.261;102.029;93.735;113.3;160.349
mar'18;107.29;118.195;122.577;79.162;103.2;99.633;97.937;73.6;94.361;92.973;77.148;97.279;120.014;93.532;55.747;151.934;80.248;111.739;85.477;100.278;134.106;101.388;112.656;116.6;65.397;88.077;101.581;88.876;65.098;82.976;95.468;65.75;128.534;117.672;88.509;56.098;176.698;70.13;102.316;93.396;113.317;158.125
apr'18;107.472;117.903;122.795;79.121;103.42;99.931;97.923;73.661;94.864;92.344;77.232;96.852;119.187;94.528;56.337;152.617;80.418;112.088;85.403;99.422;135.859;101.531;112.953;116.673;65.386;88.178;101.491;88.932;65.113;83.0;95.476;66.166;93.534;117.972;88.658;56.904;176.858;69.995;102.372;93.566;113.329;158.237
maj'18;108.329;117.547;123.458;80.488;104.778;103.196;99.736;74.6;98.132;93.062;77.124;98.943;121.24;95.945;56.57;152.252;81.677;114.037;91.5;100.221;135.647;102.519;118.529;122.115;68.17;92.591;101.551;93.781;70.298;87.983;94.356;61.784;93.895;121.772;89.794;56.72;173.269;67.789;107.15;97.744;115.749;156.651
